PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 
-2.298704e+00  1.657875e+00  2.172897e-01  1.436538e+00 -4.682293e-01  4.210257e-01 -1.804585e-01 -8.388008e-02  4.033202e-01 -7.974057e-01 -1.023953e-01  4.963956e-01 -6.581411e-02  1.000000e+00
-2.165846e+00  2.320759e+00  8.293903e-01  9.100342e-01 -1.146171e-04  6.634216e-02  1.091798e-01  3.983112e-01 -6.088354e-02  1.945896e-02 -7.814600e-02 -4.993885e-01  3.371517e-01  1.000000e+00
-1.893629e+00  1.626780e+00  7.926777e-01  1.079336e+00 -4.374712e-01 -3.639043e-01  9.138877e-02 -1.125228e-01 -3.809586e-01 -4.001920e-01 -3.082125e-01 -2.630832e-01  5.577203e-01  1.000000e+00
-3.532022e+00  2.511260e+00 -4.840929e-01  9.077621e-01 -1.149836e+00 -3.030222e-01 -3.337008e-02  3.549998e-02  4.403239e-01 -7.823700e-01 -9.159246e-01  1.646237e-01  5.130958e-01  1.000000e+00
-2.078659e+00  1.058153e+00 -1.642833e-01 -4.836331e-01  8.800289e-01  1.389099e+00 -1.021839e-01 -5.782840e-01 -5.858753e-02 -1.496272e-01  8.333757e-01  2.870648e-01  5.854417e-02  1.000000e+00
-3.115614e+00  7.846836e-01 -3.638607e-01  2.548979e-02  9.696783e-01  1.066210e-01  2.640177e-01 -1.850793e-01 -1.314754e+00  3.610727e-01  4.599227e-01  4.721267e-01 -2.770121e-02  1.000000e+00
-1.083514e+00  2.410635e-01  9.343260e-01 -1.027013e+00  3.150829e-01  1.207608e+00  2.960964e-01  1.061518e-01  5.710882e-01 -9.217260e-02  6.569765e-01  6.807690e-01 -3.037880e-01  1.000000e+00
-2.528093e+00 -9.158228e-02 -3.110552e-01  4.825511e-02 -4.283732e-01  1.012088e+00 -1.274102e-01  7.639854e-02 -1.079582e-01  8.231960e-01  8.883189e-02  4.807459e-01 -4.480734e-02  1.000000e+00
-1.640361e+00 -5.148267e-01  1.434804e-01  4.125563e-01 -3.746631e-01  7.822988e-01 -6.665220e-01 -1.947162e-01  6.904547e-01  4.703556e-01  3.241438e-02  4.824856e-01 -3.427831e-01  1.000000e+00
-1.756621e+00 -3.162568e-01  8.877813e-01  1.147918e-01 -5.551025e-01  8.962207e-01 -6.217968e-01  3.413110e-01 -9.471675e-02  6.645557e-01  3.784415e-01  3.131924e-01 -2.269066e-01  1.000000e+00
-9.872941e-01  9.380213e-01  3.810160e+00  1.317844e+00  1.585574e-01  2.643825e-01  4.805518e-01 -9.462456e-02 -1.100828e-01  4.646480e-01  4.382749e-01 -1.092096e-01 -5.793805e-02  1.000000e+00
-1.770284e+00  6.842450e-01 -8.645652e-02  2.322516e-01 -1.139728e+00  5.698670e-01 -4.567399e-01 -9.061649e-01  7.401751e-01  4.412991e-01  3.300611e-02 -2.082477e-01  2.159407e-03  1.000000e+00
-1.231949e+00 -8.955442e-02 -1.382995e+00  4.942884e-01 -3.748839e-01  6.063777e-01 -3.619892e-01  2.358230e-01  7.327269e-01  2.985896e-01 -8.634241e-01 -3.761563e-01  8.567548e-03  1.000000e+00
-2.182250e+00  6.876299e-01  1.390644e+00  7.753048e-01 -8.083039e-01  6.003788e-01  1.176010e-01  7.458529e-02 -4.584504e-01 -2.802756e-02  5.353371e-01  4.943902e-02 -1.981402e-01  1.000000e+00
-2.249763e+00  1.909234e-01 -1.089584e+00 -2.853474e-01 -4.817144e-01  3.342905e-01 -1.579049e-01  4.687420e-01 -1.371152e-01  8.001022e-01  1.215736e-01  1.353494e-01 -4.453531e-01  1.000000e+00
-2.493187e+00  1.237343e+00  1.382119e+00  3.658332e-01 -6.205823e-01 -5.808168e-01 -4.148276e-01  1.056455e+00  5.368809e-01 -3.198345e-01 -3.754784e-01 -6.076575e-01  8.566164e-02  1.000000e+00
-2.669880e+00  1.467733e+00 -3.313271e-01  3.483712e-01 -8.635074e-02 -1.643661e-01 -5.327391e-01  5.303101e-01  7.853027e-01 -2.183659e-01 -1.071779e+00  2.778477e-03  2.717838e-01  1.000000e+00
-1.623998e+00  5.255620e-02 -1.666586e-01  7.472065e-01 -6.342735e-01  4.419384e-02  9.775720e-01  4.976669e-01 -1.311591e-01  1.651042e-01  2.198908e-01 -2.035213e-01  2.450840e-01  1.000000e+00
-1.897339e+00  1.628467e+00  1.168785e+00  2.333846e+00 -1.862886e-01  3.270652e-01  9.811655e-01 -5.112020e-01 -7.097197e-01  9.932852e-02 -6.231039e-01  1.084192e-01  5.438415e-02  1.000000e+00
-1.406421e+00  6.959711e-01  4.783935e-01  1.057104e+00  9.888181e-02  7.082521e-01 -2.290927e-01  2.268350e-01  3.956172e-01  1.993950e-01  1.750229e-01 -2.190564e-01  1.066095e-01  1.000000e+00
-1.898471e+00  1.762139e-01  4.495669e-01 -2.833144e-01 -1.624911e-01  1.741505e-01 -6.559769e-01  3.537311e-01 -2.075761e-01  3.359966e-01 -1.979514e-01  2.322912e-01  1.323808e-01  1.000000e+00
-1.380967e+00  6.567871e-01  4.571490e-01  1.281044e+00 -2.044349e-01  6.187462e-01 -7.018003e-02 -9.580447e-01  3.044260e-01 -2.027805e-01  1.096827e+00 -1.468095e-01 -6.111849e-02  1.000000e+00
-1.119051e+00  1.137888e-01 -3.899727e-02  9.537109e-01 -3.412486e-01  4.079755e-01 -4.074541e-01  2.925852e-02  8.514623e-01 -3.125911e-01 -3.796615e-03 -4.010997e-01  5.741893e-03  1.000000e+00
-1.497969e+00 -7.672676e-01 -1.422166e+00  7.553773e-01 -1.653776e-01  4.142836e-01 -2.682329e-02  2.628111e-02  2.773352e-01 -2.824957e-01 -2.830593e-01 -1.788494e-01  3.184168e-01  1.000000e+00
-2.522685e+00  1.797930e+00 -3.421871e-01 -1.183635e+00  1.294245e+00  1.537932e+00  9.629719e-01 -7.667706e-01 -7.193015e-01  2.261792e-02  1.190164e+00  1.684139e-01 -1.777859e-01  1.000000e+00
-2.580815e+00  7.774233e-01 -1.181442e-01 -4.746326e-01  4.021875e-01 -7.231431e-01  5.475873e-01 -7.040423e-01 -8.152040e-01  3.232348e-01  2.815694e-01  1.960816e-01  7.672005e-02  1.000000e+00
-6.666016e-01  1.694828e-01 -7.811590e-01 -1.309390e+00 -3.707177e-01  1.320965e+00  2.711520e-02  3.251205e-01  2.842836e-01 -7.201729e-02 -8.251482e-01 -7.319633e-02  4.276463e-01  1.000000e+00
-3.062169e+00  1.152667e+00 -3.118783e-01 -5.487367e-01 -3.032702e-01  8.056448e-01 -1.008573e+00 -9.272066e-01  2.176284e-01  2.294423e-01  4.412791e-01 -1.858606e-01 -2.288918e-02  1.000000e+00
-4.609090e-01  3.298118e-01 -2.009098e-01 -1.432453e+00  2.824282e-01  1.025710e+00  5.697870e-01 -5.641789e-01 -2.924743e-01 -7.797227e-02  7.052268e-02 -4.944707e-02  2.014885e-01  1.000000e+00
-2.095441e+00 -7.080918e-02 -6.540045e-01 -7.556133e-01  4.702113e-01 -3.707621e-01  2.049032e-02 -6.225778e-01 -2.981620e-01  4.280042e-01 -4.697757e-01  5.603156e-02  8.083834e-02  1.000000e+00
-1.132970e+00  1.772108e+00  2.862499e-02 -6.898851e-01 -6.075283e-02  1.908484e+00  1.722114e-01 -2.559917e-01 -5.518593e-01  1.868254e-01 -5.928099e-01  4.661425e-02  6.151525e-02  1.000000e+00
-2.718931e+00  1.187984e+00 -5.382549e-01 -1.385642e+00 -4.954969e-01  1.008155e+00  7.373500e-01  2.425698e-01 -4.453438e-01 -1.107553e-01 -4.849746e-02 -2.026562e-01 -1.516395e-01  1.000000e+00
-2.813403e+00  6.444407e-01 -1.152302e+00 -9.848847e-01 -9.948953e-03 -2.899475e-01 -4.725809e-01 -1.418126e-01 -4.054589e-01  2.530761e-01 -1.226430e-01 -8.498488e-02  1.887565e-01  1.000000e+00
-2.004197e+00  1.243522e+00 -5.713282e-02 -2.299943e-01 -3.835691e-01 -5.244748e-01  2.278758e-01  7.988748e-01 -1.149583e-01 -2.763812e-02  1.030356e-01 -3.170517e-01  1.286614e-01  1.000000e+00
-2.699875e+00  1.747039e+00 -6.413046e-01  9.994957e-02 -4.933214e-01 -7.302186e-01  7.598470e-03  2.505645e-01 -1.770649e-01 -3.045247e-01 -5.455591e-01  7.390721e-01  5.471264e-01  1.000000e+00
-3.205874e+00  1.665223e-01 -1.968020e+00 -1.117532e+00  1.224366e-02 -1.227357e+00  2.600775e-01  4.667301e-01  1.228992e+00 -5.916491e-01  3.662785e-01  4.098684e-01  8.056254e-02  1.000000e+00
-2.850918e+00  7.431824e-01  4.706226e-03  2.146710e-01 -7.566740e-01  1.915826e-01 -3.527517e-01  1.069108e+00  9.841835e-01  1.138336e-01  5.481386e-01  3.156914e-01 -5.131845e-02  1.000000e+00
-3.495743e+00  1.608197e+00 -5.193096e-01 -1.062367e-01 -5.999919e-01 -1.830281e-01  1.514454e-01 -1.417105e+00 -4.016755e-01 -4.236525e-01 -2.912558e-01 -8.961886e-02 -1.306545e-01  1.000000e+00
-2.218533e+00  1.869893e+00  3.385947e-01  1.203571e+00 -5.750222e-01  2.452628e-01  4.638522e-01 -3.981537e-01  3.144074e-01 -8.225067e-02 -3.083875e-01  4.517518e-05 -1.591999e-01  1.000000e+00
-2.140948e+00  1.013891e+00 -9.550686e-01  2.396422e-01  8.776288e-01  3.607573e-01 -4.107891e-01 -2.887533e-01 -2.797474e-01  4.534969e-01 -1.719421e-01  1.781425e-01  2.952826e-01  1.000000e+00
-2.462383e+00  1.325270e+00  5.119932e-01 -2.546303e-01  9.095743e-01 -5.533086e-01 -3.573926e-01  5.360108e-01  1.352647e-01  1.554481e-01 -3.319026e-01 -1.697504e-01 -2.410595e-01  1.000000e+00
-2.733806e+00  1.432508e+00 -6.107505e-01 -2.051687e-01  4.330423e-01 -1.156715e-01 -3.911900e-02 -3.503990e-01 -9.304625e-01  3.458767e-01  4.255883e-02 -5.384920e-02 -1.620290e-01  1.000000e+00
-2.167626e+00  1.208790e+00  2.610432e-01  5.030072e-01 -6.934656e-01  2.562609e-01 -2.184474e-01 -6.101238e-01  8.366271e-01 -4.540382e-01 -8.348552e-02 -1.252307e-01  1.112510e-01  1.000000e+00
-3.130549e+00  1.726708e+00 -2.848579e-01 -2.299186e-01  7.482975e-02 -3.505732e-01 -8.407038e-01 -6.245160e-01  4.134693e-01 -2.021387e-01 -2.591405e-01 -5.561413e-01  1.636364e-01  1.000000e+00
 9.259699e-01 -3.064841e+00 -4.572166e+00  1.048886e+00  4.558383e-01  3.871605e-01 -9.201200e-02 -6.759026e-01 -3.749152e-01 -4.141407e-01 -3.647159e-01 -6.006008e-01 -4.909499e-01  2.000000e+00
 1.538141e+00 -1.377558e+00 -8.722227e-01  2.881990e+00 -9.752572e-01 -3.491267e-02  1.055875e+00 -1.072351e+00 -2.752210e-01 -5.805197e-01 -1.480776e-01 -3.019641e-01 -1.025046e-01  2.000000e+00
 1.831084e+00 -8.276494e-01 -1.601185e+00  1.448020e+00 -2.932486e-01 -6.821923e-01  2.534287e-01 -9.796897e-01 -9.047201e-01 -5.703136e-01 -1.501324e-01 -8.382021e-02  3.158692e-01  2.000000e+00
-3.052074e-02 -1.259234e+00 -1.779389e+00  1.203182e+00 -3.924971e-01  6.053794e-01 -5.693772e-01  6.181201e-01 -1.198577e+00 -3.043437e-01 -2.519091e-01 -1.404344e-01  1.632877e-01  2.000000e+00
-2.044494e+00 -1.919618e+00 -7.348049e-03 -7.192929e-01 -8.089844e-02 -7.623756e-01 -1.072811e+00 -2.977088e-01 -6.093382e-01 -1.403501e+00 -8.235091e-03 -2.302245e-01 -3.851804e-01  2.000000e+00
 6.079658e-01 -1.902692e+00  6.774469e-01  2.147020e+00 -4.976218e-02  1.908272e-01  5.017058e-01 -1.577082e-02 -3.282156e-01 -1.045636e+00  8.798120e-01  2.903585e-01  2.968907e-02  2.000000e+00
-8.976955e-01 -7.617626e-01  5.717485e-01  6.774506e-01 -1.422318e-01 -1.014670e+00  1.927690e-01 -9.289824e-02  5.891123e-01 -6.781136e-01  8.063549e-01 -2.034458e-01  1.261144e-01  2.000000e+00
-2.242182e+00 -1.879291e+00 -2.026125e+00 -1.403668e+00 -7.299479e-01 -1.299732e+00 -3.437491e-01  1.762906e-01 -8.053562e-01 -3.748602e-01  1.545143e-01  1.790132e-01  1.196286e-01  2.000000e+00
-1.828682e-01 -2.420319e+00 -1.066736e+00 -1.270596e-01 -5.330698e-01  6.980397e-02 -1.350954e+00  2.256708e-01 -4.012642e-01  1.065023e-01 -4.784006e-01  1.096439e+00 -1.574489e-02  2.000000e+00
 8.105187e-01 -2.198937e-01 -7.050166e-01  2.481988e+00 -5.819183e-01  3.165467e-01  3.660591e-01 -1.243092e+00 -9.940478e-01  1.276684e-01 -2.318237e-01 -9.980893e-01 -2.849324e-01  2.000000e+00
-1.970063e+00 -1.399336e+00 -1.234793e+00  1.149065e+00  4.174880e+00 -4.916108e-01  1.452448e+00  1.039545e+00 -3.733260e-01  4.149429e-01 -2.308209e-01  7.207946e-01 -4.953700e-01  2.000000e+00
 1.567794e+00 -8.824937e-01 -6.272286e-01  1.168550e+00  9.626291e-01 -2.686523e-01  1.503975e-01  7.177821e-01  1.086274e+00  6.694551e-01 -2.277555e-01 -4.532478e-01  3.785425e-01  2.000000e+00
-1.653019e+00 -9.540210e-01  1.947092e+00 -1.517808e-01 -7.849469e-01  3.153354e-01 -1.487435e+00  1.526643e+00 -1.155464e+00 -7.024076e-01  7.361670e-01 -4.622716e-01 -3.386012e-01  2.000000e+00
 7.233320e-01 -1.060653e+00  8.010626e-02  7.580559e-02 -1.796590e-01  5.427856e-01 -1.594404e+00  1.049340e+00 -8.955732e-01  3.869675e-01 -9.721906e-02 -1.761363e-01  2.600526e-01  2.000000e+00
-2.555020e+00  2.594666e-01  3.364902e+00  9.766444e-01  1.975227e+00  3.111619e-01 -4.481289e-01  1.127452e+00 -1.108800e+00 -1.336022e-01 -1.775447e+00 -1.073558e-01 -2.486195e-01  2.000000e+00
-1.827413e+00 -1.284255e+00  4.569909e-01 -1.708688e-01  9.984059e-01 -7.763882e-02 -1.371769e+00 -5.275233e-01  4.503616e-01 -2.394242e-01 -1.069752e+00 -4.634538e-01 -1.015293e+00  2.000000e+00
 8.655513e-01 -2.437226e+00 -1.558936e+00  8.291210e-01  7.059885e-01 -1.120477e-01  4.219904e-01 -6.471227e-02  2.156312e-01 -9.402742e-01  1.725430e-01  5.980770e-01  2.716864e-01  2.000000e+00
-3.689736e-01 -2.147848e+00 -2.442496e+00  1.258042e-01  9.503177e-02 -5.553569e-01 -6.459915e-01  7.377309e-01 -7.790095e-01 -4.697739e-01  3.830383e-01  2.213931e-01  2.497310e-01  2.000000e+00
 1.453278e+00 -1.379460e+00 -2.266675e-01  6.943981e-01  1.064360e+00  8.164666e-01  9.316327e-01 -8.528823e-01  4.867075e-02  7.169070e-02 -6.163228e-02  3.438591e-01  1.184808e-01  2.000000e+00
-1.259378e+00 -7.686812e-01 -1.180893e+00  9.232778e-01  2.606241e+00 -1.593301e+00  2.008094e+00  1.719940e-01  1.560627e-01  5.745496e-01  3.836014e-01 -1.866931e-01  1.147932e-01  2.000000e+00
-3.750923e-01 -1.024154e+00  1.789419e+00 -9.757919e-01 -1.361850e-01  6.592934e-01  1.189856e+00  3.323138e-01 -7.974351e-01 -5.842840e-01 -2.634483e-01  1.330275e-02 -6.543784e-02  2.000000e+00
-7.599203e-01 -3.365560e+00 -3.564645e-01  3.657013e-01 -1.540061e-01 -2.445521e-01 -4.187353e-01  2.407567e-01 -6.711658e-01 -6.635789e-01  1.224680e-01  4.848350e-01 -1.417079e-01  2.000000e+00
-1.031668e+00 -1.446629e+00 -3.619906e-01 -2.957615e-01 -3.050268e-01  1.000558e-01 -4.580076e-01  6.038924e-01  2.902487e-01 -9.979526e-02  1.330780e-01  3.600221e-01  1.606109e-01  2.000000e+00
 4.934847e-01 -2.374545e+00  1.331986e+00  1.038051e+00 -1.039195e+00 -1.124575e-01 -6.445919e-01  9.459612e-01  5.289038e-01 -1.343858e-01 -1.271899e-01 -4.181222e-02 -3.163825e-01  2.000000e+00
 2.531835e+00 -8.719738e-02  4.729173e-01 -7.564675e-01 -1.124644e+00 -1.801784e-01  1.153046e+00  5.008033e-01 -2.005573e-01  1.492943e-01 -3.623153e-02 -1.957742e-01  5.874837e-01  2.000000e+00
-8.329704e-01 -1.469525e+00  6.083774e-01 -5.813121e-01  8.966554e-01 -8.800454e-01 -8.307535e-01 -5.592807e-01  1.208858e+00  8.402466e-01  1.256460e+00 -2.117868e-01 -3.302736e-01  2.000000e+00
-7.856883e-01 -2.020926e+00 -2.540069e-01  8.071412e-01  2.581244e-01  1.573621e-01 -2.692648e-01  1.466605e-01 -5.171535e-01  1.343524e-01  6.004544e-01  2.687312e-01 -2.795263e-01  2.000000e+00
 8.045626e-01 -2.227547e+00  7.706818e-01  1.010864e+00 -2.910413e-01 -3.486105e-01  2.562070e-01  1.054736e+00  6.573869e-02 -4.903487e-01  2.102569e-02 -8.916763e-02  1.496725e-01  2.000000e+00
 5.564729e-01 -2.366310e+00  2.301120e+00  1.032408e+00 -4.755979e-01  2.368988e-01 -4.903176e-01  8.640363e-01  4.136299e-01 -1.436653e-01 -3.165805e-01  7.887667e-01 -3.101848e-01  2.000000e+00
 1.111974e+00 -1.797178e+00  9.565550e-01  3.303519e-01 -7.294524e-01 -5.778308e-02  8.752726e-02 -3.116385e-01  9.021307e-01  3.046866e-01 -3.196273e-01  1.517951e-01  7.532142e-03  2.000000e+00
 5.541596e-01 -2.650065e+00  8.467384e-01  3.188647e-03 -1.342470e+00 -4.050004e-02 -7.590598e-01  4.348815e-01  3.496784e-01  6.777925e-01 -6.171322e-01 -7.366350e-02 -3.755496e-01  2.000000e+00
 1.345490e+00 -2.112044e+00 -4.751828e-02  4.649390e-01 -8.880409e-01 -4.951928e-01  7.541627e-01  1.214222e-01  6.162984e-01  1.912185e-01  6.682355e-01 -1.796727e-01  1.312577e-01  2.000000e+00
 1.560082e+00 -1.847004e+00  7.788699e-01  6.033773e-01 -5.150126e-01 -7.299582e-01  1.372545e-01  4.424331e-01  4.145133e-01  5.915943e-01  4.072296e-01  4.433615e-01 -6.230548e-03  2.000000e+00
 1.927119e+00 -1.555109e+00 -8.902355e-02  5.210994e-01 -1.170396e+00 -9.034130e-01  5.373557e-01  5.464923e-01  1.318528e-01  7.330223e-01  4.338046e-01 -4.585765e-01  5.025226e-01  2.000000e+00
-7.445656e-01 -2.306426e+00  1.143572e-01 -1.245027e+00  2.621972e-01  5.152345e-01  2.081948e-01  1.951665e-01 -1.034190e-01 -4.049917e-01  7.941814e-01  2.560240e-01 -3.624160e-01  2.000000e+00
-9.547621e-01 -2.217274e+00  1.420441e-01 -3.131596e-01  9.414869e-01  3.817496e-01 -7.559768e-01 -8.999133e-01 -9.634028e-02 -1.270728e+00  1.722459e-01  2.158058e-01 -6.742263e-01  2.000000e+00
-2.536709e+00  1.687979e-01  7.864784e-01  1.029932e+00  3.720584e+00 -1.347876e+00  2.636633e+00  5.316106e-01 -1.577123e-01  5.281866e-01 -2.380845e-01 -4.547192e-01 -1.060902e-01  2.000000e+00
 5.424225e-01 -3.678888e-01  1.305214e+00  1.274404e+00  3.337376e+00  7.074981e-01 -3.508693e-01  1.133422e-01  9.953180e-01  5.665156e-02  6.757643e-01 -2.151201e-01 -4.874663e-01  2.000000e+00
-1.028149e+00 -2.558353e+00 -1.083334e+00 -2.631188e-01 -1.893100e-01 -4.015526e-01  1.341604e-02 -3.517303e-02 -1.802380e-01 -7.274924e-01  3.930298e-01 -6.648874e-02 -2.834007e-02  2.000000e+00
-2.245575e+00 -1.428711e+00 -2.295607e-01 -9.185799e-01 -2.392480e-01 -1.039416e+00 -8.691744e-01 -7.582037e-01 -2.358530e-01 -9.402643e-01 -4.963216e-01 -5.834300e-01  2.944059e-01  2.000000e+00
-1.406249e+00 -2.160098e+00  7.467898e-01 -1.192248e+00 -7.078604e-01 -6.089010e-01  2.086194e+00  5.853862e-01 -1.278894e-01 -1.207797e+00  6.164293e-01 -8.174612e-02 -1.141887e-02  2.000000e+00
-7.954759e-01 -2.370263e+00 -1.563702e+00  3.471842e-02  6.153556e-01  2.868367e-01  2.812995e-01  3.779260e-01 -1.126906e-01 -6.144250e-01 -9.679390e-01  6.391004e-01  1.732768e-01  2.000000e+00
 5.479859e-01 -2.286678e+00 -1.494719e+00  3.061750e-01  3.250939e-01  1.503337e-01 -4.106325e-01  7.975124e-01  5.135385e-02  6.665711e-01  3.096117e-02  1.220464e-01  1.253669e-01  2.000000e+00
 1.607204e-01 -1.161208e+00  1.000890e+00 -6.598249e-01  3.003379e-01  6.586620e-01 -4.966204e-01 -9.585272e-01 -3.236437e-01  6.010410e-01  2.482575e-02  4.794746e-02 -2.251540e-01  2.000000e+00
 6.579390e-01 -2.672423e+00 -7.627692e-01 -4.686328e-01  1.440640e-01 -4.523707e-01 -4.753465e-02 -4.417604e-01 -2.306717e-01 -1.030794e-01 -6.739479e-01 -5.661242e-01 -2.289448e-01  2.000000e+00
-3.912507e-01 -2.092828e+00 -4.705227e-01 -4.358272e-01 -3.029559e-01  2.486128e-01 -4.519216e-01  3.988111e-01 -1.748638e-01  7.372635e-01 -7.194262e-01  5.105416e-01 -1.279027e-01  2.000000e+00
 1.767513e+00 -1.712458e+00  9.443692e-01 -2.587826e-01 -1.001999e+00 -1.057225e-01  1.076006e+00 -4.096276e-01 -7.645615e-01  1.418104e+00 -1.279922e-02  5.501176e-01  5.591197e-01  2.000000e+00
 3.652371e-01 -2.163251e+00 -4.799703e-01 -3.972798e-01 -4.677319e-01 -1.939395e-01 -2.396000e-01  2.856081e-01  3.372417e-01  6.485757e-01  2.773005e-01  6.048618e-01  3.429063e-01  2.000000e+00
 1.616114e+00 -1.351770e+00  2.863512e-01  2.595134e-02 -5.677510e-01 -5.795330e-01 -7.739754e-02  6.874718e-01  5.371295e-02  9.190452e-01  2.590663e-01 -2.283585e-01  6.698806e-01  2.000000e+00
-8.230361e-02 -2.299747e+00 -4.622710e-01 -8.878465e-01  3.396185e-01 -1.109375e+00  2.097749e-01 -3.011821e-01 -5.589912e-01  8.078317e-01  6.377413e-02 -1.801369e-01 -3.635976e-02  2.000000e+00
-1.573835e+00 -1.457922e+00  1.774640e+00 -6.118584e-01  2.871717e-01 -7.950754e-01 -2.804463e-01 -6.153175e-01  1.261277e+00  3.114271e-01  5.956073e-01 -2.330125e-01 -2.010125e-01  2.000000e+00
-1.416573e+00 -1.414217e+00  1.388841e-01 -3.420890e+00  2.190705e+00 -1.453017e+00  1.677295e+00 -3.488410e-02  5.489504e-01 -1.926959e-01 -7.424666e-01 -6.214695e-01 -3.600072e-01  2.000000e+00
 2.779188e-01 -1.925138e+00  7.844926e-02 -9.259089e-01  2.607602e-01  6.780842e-01 -8.452095e-01 -2.882451e-01 -5.923749e-01 -1.749767e-01 -8.933370e-02 -5.930655e-01  6.509809e-02  2.000000e+00
 1.299479e+00 -7.610256e-01  1.993972e+00  1.720981e+00 -7.328390e-01  4.853508e-01  1.130089e+00 -8.425817e-01  7.002716e-01 -5.048790e-01  6.873066e-01  7.079421e-01  3.779621e-01  2.000000e+00
 4.557861e-01 -2.263032e+00  1.058353e+00  8.350764e-01 -3.225410e-01 -1.000295e+00 -5.030121e-01 -7.389497e-01  4.220802e-01 -5.055404e-01  1.570685e-01 -3.268997e-01 -2.030839e-01  2.000000e+00
 4.927957e-01 -1.933591e+00  1.320214e+00  6.142398e-02 -8.465196e-01  3.308423e-02 -9.793705e-01 -9.557605e-01 -3.717165e-01  3.658506e-01 -1.102987e-01  1.850188e-02 -1.417842e-02  2.000000e+00
-4.807184e-01 -3.860893e+00  1.340490e+00  8.973791e-01 -9.297351e-01 -9.666431e-01  1.399161e+00  6.768821e-01  9.692066e-02 -1.350378e+00 -2.927231e-01  7.212221e-01 -2.712694e-01  2.000000e+00
