PC1 PC2 PC3 
-2.0983651042 -0.8801962012  0.0772295498  1.0000000000
-2.2148799834 -0.8076385815 -0.0387632023  1.0000000000
-2.2315559043 -0.7685819050 -0.0550088919  1.0000000000
-2.1873388391 -0.9638005610 -0.0130690683  1.0000000000
-2.1479988702 -0.7713271272  0.0287848311  1.0000000000
-2.1043687797 -1.0311548504  0.0693346939  1.0000000000
-2.2873646034 -0.9529932576 -0.1132849192  1.0000000000
-2.0794553300 -0.8151769898  0.0970067619  1.0000000000
-2.2282562090 -0.9346899457 -0.0537580704  1.0000000000
-2.1379294675 -0.7264319754  0.0394435115  1.0000000000
-2.0808213708 -0.7304358063  0.0966869966  1.0000000000
-2.1658511217 -0.9048788164  0.0092188375  1.0000000000
-2.1495639183 -0.9127547631  0.0254611584  1.0000000000
-2.1107169504 -0.6255196973  0.0679954039  1.0000000000
-2.1444820421 -0.8730074044  0.0310523254  1.0000000000
-2.1063778421 -0.8368662377  0.0697280964  1.0000000000
-2.0275132439 -0.7083140113  0.1504421301  1.0000000000
-2.1048348578 -0.9922981652  0.0693488877  1.0000000000
-2.0843315220 -0.8811403800  0.0912968943  1.0000000000
-2.1203743492 -0.6683917497  0.0577751466  1.0000000000
-2.2609461861 -0.6516233102 -0.0830442355  1.0000000000
-2.0591499307 -0.7356473308  0.1183640353  1.0000000000
-2.2249261526 -0.8835294867 -0.0497828888  1.0000000000
-2.0812882296 -0.7276743249  0.0962528646  1.0000000000
-2.0845709909 -0.9502537400  0.0901997166  1.0000000000
-2.1168122085 -0.8376000409  0.0592508240  1.0000000000
-1.6487980224  0.5376896479 -0.0024931967  2.0000000000
-1.7753939651  0.3636243116 -0.1316575402  2.0000000000
-1.7947186849  0.3237025298 -0.1515398607  2.0000000000
-1.6441591742  0.4005070230  0.0004597614  2.0000000000
-1.5275328629  0.4364088388  0.1179090895  2.0000000000
-1.6732058703  0.5647013647 -0.0266452097  2.0000000000
-1.7050575203  0.4892120279 -0.0595360482  2.0000000000
-1.7446292789  0.2659786539 -0.1020038791  2.0000000000
-1.6975519551  0.6005587861 -0.0506255822  2.0000000000
-1.6647503329  0.5162227800 -0.0187633596  2.0000000000
-1.5816695176  0.2497960531  0.0612832286  2.0000000000
-1.6063857070  0.4550936472  0.0390324322  2.0000000000
-1.6159087818  0.2510112080  0.0269480950  2.0000000000
-1.5660309380  0.4003670795  0.0788393998  2.0000000000
-1.7114443478  0.4663196951 -0.0662274100  2.0000000000
-1.5261647861  0.4797704136  0.1198192368  2.0000000000
-1.6947111209  0.3992173434 -0.0502719655  2.0000000000
-1.6117072730  0.5682342366  0.0350964484  2.0000000000
-1.7254692026  0.2343993082 -0.0831732743  2.0000000000
-1.5982591786  0.3210289675  0.0455230299  2.0000000000
-1.4910157393  0.4174729539  0.1543097444  2.0000000000
-1.6601930550  0.5445235742 -0.0138404160  2.0000000000
-1.7479547181  0.3638162756 -0.1041270093  2.0000000000
-1.6925151975  0.5875694385 -0.0457335596  2.0000000000
-1.5555877231  0.3464747658  0.0886482430  2.0000000000
-1.5241714652  0.4964807159  0.1220262063  2.0000000000
-1.7805891126  0.4283779298 -0.1360666435  2.0000000000
-1.7021230125  0.3576114463 -0.0582237412  2.0000000000
-1.7522282868  0.3389943806 -0.1087221898  2.0000000000
-1.6998863657  0.3055342006 -0.0566255506  2.0000000000
-1.7471705476  0.5784488943 -0.1006790795  2.0000000000
-1.7433218483  0.5210483862 -0.0975296162  2.0000000000
-1.6893813815  0.4793251071 -0.0439317058  2.0000000000
-1.6542517432  0.4568402822 -0.0089670347  2.0000000000
-1.6187798338  0.1991816805  0.0234251091  2.0000000000
-1.5545008291  0.4338005724  0.0908214067  2.0000000000
-1.7510643737  0.3643333780 -0.1072403287  2.0000000000
-1.6091131718  0.3341406288  0.0347964402  2.0000000000
-1.6817006845  0.3340499605 -0.0380273819  2.0000000000
-1.6118418134  0.2281811439  0.0307451717  2.0000000000
-1.5769028156  0.3695035959  0.0675496223  2.0000000000
-1.6762439184  0.5993804422 -0.0292631171  2.0000000000
-1.7285143885  0.4296696962 -0.0838071794  2.0000000000
-1.5128188395  0.4628177445  0.1329982293  2.0000000000
-1.5452808172  0.1786330941  0.0969074835  2.0000000000
-1.5076762834  0.4016348336  0.1373988437  2.0000000000
-1.7345194817  0.5199882785 -0.0887118739  2.0000000000
-1.7432920237  0.2855546019 -0.1004195701  2.0000000000
-1.5073422941  0.3555002697  0.1371618951  2.0000000000
-1.6845916182  0.1834893370 -0.0427944756  2.0000000000
-1.7070232522  0.5655746020 -0.0605613335  2.0000000000
-1.6735489191  0.2262975645 -0.0311852210  2.0000000000
-1.5521147322  0.3957388067  0.0927433087  2.0000000000
-1.7619714724  0.3295623913 -0.1186138903  2.0000000000
-1.6740192677  0.2444973887 -0.0314314349  2.0000000000
-1.6070377291  0.2916960023  0.0363523387  2.0000000000
-1.5220833771  0.3546265528  0.1223622175  2.0000000000
-1.6549958696  0.2218336743 -0.0126274067  2.0000000000
-1.5286282331  0.2397164653  0.1143713919  2.0000000000
-1.6575122899  0.3126453429 -0.0140260112  2.0000000000
-1.5282729743  0.4963488092  0.1179097726  2.0000000000
-1.5924075375  0.4207082473  0.0526295485  2.0000000000
-1.7375927505  0.4429264486 -0.0927505858  2.0000000000
-1.4878223827  0.4129118838  0.1574568951  2.0000000000
-1.5970875403  0.2186098440  0.0454285749  2.0000000000
-1.5703786554  0.1249599182  0.0710628368  2.0000000000
-1.7805503245  0.2388448155 -0.1383777408  2.0000000000
-1.5785869785  0.3938603396  0.0661620007  2.0000000000
-1.7300216735  0.2381731416 -0.0876937038  2.0000000000
-1.5777392306  0.5346698476  0.0687583850  2.0000000000
-1.7284085034  0.3619048757 -0.0845411638  2.0000000000
-1.6601216644  0.2009846916 -0.0180283146  2.0000000000
-1.5193919145  0.4533710360  0.1262867282  2.0000000000
-1.6295765168  0.4227284519  0.0153651893  2.0000000000
-1.7880997382  0.3745452446 -0.1442690724  2.0000000000
-1.6543462767  0.3177022087 -0.0107870402  2.0000000000
-1.6836180296  0.2228178997 -0.0413300998  2.0000000000
-1.5884939688  0.3025654494  0.0550909510  2.0000000000
-1.6159616450  0.5320110962  0.0303791633  2.0000000000
-1.8014481948  0.2735690185 -0.1589127772  2.0000000000
-1.6395612607  0.4134018246  0.0052324542  2.0000000000
-1.6512557618  0.3187479858 -0.0076735454  2.0000000000
-1.5718236140  0.2217057845  0.0708127434  2.0000000000
-1.7501761145  0.3575075218 -0.1064338249  2.0000000000
-1.6160463454  0.5014876969  0.0299157305  2.0000000000
-1.6041061978  0.4503133108  0.0412600559  2.0000000000
-1.6987348019  0.2310079693 -0.0563943025  2.0000000000
-1.6817939506  0.3252710065 -0.0382298001  2.0000000000
-1.7041828506  0.3696153706 -0.0601414172  2.0000000000
-1.6584049395  0.4909151290 -0.0127111952  2.0000000000
-1.6222715254  0.4671212123  0.0232442725  2.0000000000
-1.7277189209  0.6031435757 -0.0808582410  2.0000000000
-1.4876712716  0.4807296108  0.1584493642  2.0000000000
-1.6414588137  0.3566783287  0.0026254414  2.0000000000
-1.5570489936  0.2518007405  0.0860083797  2.0000000000
-1.5917844020  0.3000151786  0.0517582360  2.0000000000
-1.7913174825  0.2835121602 -0.1486259566  2.0000000000
-1.6191648497  0.2097884086  0.0231703580  2.0000000000
-1.6029275909  0.5390161288  0.0435423031  2.0000000000
-1.5728743276  0.3977953410  0.0719419506  2.0000000000
-1.2474346179  1.4254894534 -0.1371483105  3.0000000000
-0.9480353417  1.6339254635  0.1658054138  3.0000000000
-1.1945181552  1.6921508674 -0.0807540763  3.0000000000
-1.1532669597  1.4049814708 -0.0429298242  3.0000000000
-1.0195126392  1.3273036151  0.0902947399  3.0000000000
-1.2598131367  1.4852694034 -0.1488257275  3.0000000000
-1.0989590231  1.6205157076  0.0142264691  3.0000000000
-1.0170271560  1.4237447810  0.0939840451  3.0000000000
-1.2103276438  1.4674042874 -0.0994014091  3.0000000000
-1.0525900474  1.5736146647  0.0601641578  3.0000000000
-1.1249105255  1.4394357220 -0.0140543180  3.0000000000
-1.1182358077  1.5166826146 -0.0064001938  3.0000000000
-1.0220209408  1.5577683649  0.0906358317  3.0000000000
-1.1422208453  1.4136596334 -0.0317403200  3.0000000000
-1.0334481840  1.4845745601  0.0782640378  3.0000000000
-1.1453522422  1.5648246350 -0.0330075759  3.0000000000
-1.1758286293  1.6146414080 -0.0629650317  3.0000000000
-1.0338564944  1.4601484333  0.0775515461  3.0000000000
-1.0005202537  1.4454226053  0.1108132124  3.0000000000
-1.0171471210  1.5673928862  0.0956447767  3.0000000000
-1.0371377639  1.6842570000  0.0770383556  3.0000000000
-1.0640161366  1.3184067681  0.0455367386  3.0000000000
-1.0413741374  1.6831690909  0.0727747672  3.0000000000
-1.1406331434  1.5123451700 -0.0289238772  3.0000000000
-1.0772605846  1.3068424192  0.0321059925  3.0000000000
-1.2381101387  1.5242258018 -0.1265693930  3.0000000000
-1.2051479299  1.4606074312 -0.0942891867  3.0000000000
-1.2018437527  1.6108903604 -0.0891109538  3.0000000000
-1.0879927720  1.6431911692  0.0255094030  3.0000000000
-1.0906555466  1.4368849376  0.0202800208  3.0000000000
-1.0385497541  1.3827994896  0.0718840348  3.0000000000
-0.9842921994  1.4965231818  0.1277274393  3.0000000000
-0.9977910992  1.6375655283  0.1159335794  3.0000000000
-1.1602033076  1.5391707719 -0.0482248400  3.0000000000
-1.1726715616  1.6542916171 -0.0593061141  3.0000000000
-1.2102700957  1.5082058492 -0.0988377781  3.0000000000
-1.2094777451  1.5446826613 -0.0975905862  3.0000000000
-1.2384366166  1.4619308260 -0.1276693208  3.0000000000
-1.0426516514  1.6444243026  0.0710127195  3.0000000000
-0.9620250391  1.6229367684  0.1516341412  3.0000000000
-1.1863253504  1.6201858582 -0.0734270170  3.0000000000
-1.1377748054  1.3833877784 -0.0276552140  3.0000000000
-1.1736856940  1.6101872142 -0.0608703805  3.0000000000
-1.0491963646  1.4788788502  0.0623942119  3.0000000000
-1.2361279678  1.5643723564 -0.1240830248  3.0000000000
-1.1069757632  1.5898259183  0.0058032335  3.0000000000
-1.2008444363  1.6176713027 -0.0880243230  3.0000000000
-1.0051972390  1.4156303749  0.1057516812  3.0000000000
-1.0997745731  1.4061549430  0.0107504289  3.0000000000
-1.1153241311  1.5115137431 -0.0035431719  3.0000000000
-1.1091277521  1.4350413049  0.0017251058  3.0000000000
-0.9686835627  1.4976957759  0.1434011873  3.0000000000
-1.2645491245  1.4460638026 -0.1540631683  3.0000000000
-1.0905798540  1.6270169824  0.0227133959  3.0000000000
-1.1889360988  1.7200381952 -0.0748081605  3.0000000000
-1.1190384365  1.7445520263 -0.0043800823  3.0000000000
-1.0235589530  1.5455337248  0.0889411396  3.0000000000
-1.0455391909  1.5277091991  0.0666686799  3.0000000000
-1.1446957068  1.5915534207 -0.0320175044  3.0000000000
-0.9807704667  1.6395109985  0.1330334810  3.0000000000
-1.1160992197  1.7251540193 -0.0016718572  3.0000000000
-1.1585656105  1.6926388127 -0.0446789945  3.0000000000
-1.2061416791  1.4279029345 -0.0956916570  3.0000000000
-1.0152881772  1.5884096300  0.0977703290  3.0000000000
-0.9592555166  1.6661933595  0.1549489732  3.0000000000
-1.0633307699  1.6324271053  0.0501178475  3.0000000000
-1.1920901247  1.4544657634 -0.0812652241  3.0000000000
-1.1656241475  1.6438885241 -0.0523648537  3.0000000000
-1.0071511939  1.5780317384  0.1058050014  3.0000000000
-1.1621347246  1.4089045579 -0.0517776787  3.0000000000
-1.0957860912  1.4554566376  0.0153631226  3.0000000000
-1.1338310889  1.4168591002 -0.0232837106  3.0000000000
-1.2612894730  1.4059401564 -0.1512904464  3.0000000000
-1.1011500071  1.4765937446  0.0102439054  3.0000000000
-1.0577622780  1.6080187529  0.0554017436  3.0000000000
-1.0646018838  1.4565110987  0.0466614418  3.0000000000
-1.1134426533  1.7430622644  0.0012153599  3.0000000000
-1.0810817439  1.5205065153  0.0309216624  3.0000000000
-1.0747575872  1.4997440666  0.0370088770  3.0000000000
-1.1928378846  1.6045394923 -0.0801546505  3.0000000000
-1.1067929852  1.7211344915  0.0076146918  3.0000000000
-1.1711874810  1.4553818652 -0.0602834966  3.0000000000
-1.1250085954  1.6228657135 -0.0118783669  3.0000000000
-1.1260793315  1.5191632641 -0.0142383734  3.0000000000
-1.1750944180  1.5047385937 -0.0635911206  3.0000000000
-1.0512186123  1.5106367499  0.0607591766  3.0000000000
-1.1019355030  1.3984342283  0.0084867687  3.0000000000
-1.0650975250  1.4777702210  0.0464277855  3.0000000000
-1.1676223005  1.7450146777 -0.0531156229  3.0000000000
-0.9951492155  1.4769191375  0.1165921767  3.0000000000
-1.0539687386  1.5999679736  0.0591077529  3.0000000000
-1.1256000310  1.7516766086 -0.0108745992  3.0000000000
-1.0533107794  1.5650997299  0.0593355145  3.0000000000
-1.0834454966  1.3156917508  0.0260107636  3.0000000000
-1.2155129227  1.5900990507 -0.1030822025  3.0000000000
-1.1607692819  1.5175160627 -0.0490611436  3.0000000000
-1.0280782064  1.3889622177  0.0824659218  3.0000000000
-1.2418071629  1.5339594196 -0.1301577091  3.0000000000
-1.0881210203  1.3142127809  0.0213017535  3.0000000000
-1.2018509885  1.4564210767 -0.0910334695  3.0000000000
-0.5174450112 -1.3706491734  0.0122105760  4.0000000000
-0.4934918399 -1.1730728688  0.0386910943  4.0000000000
-0.5311412894 -1.2089190663  0.0004752046  4.0000000000
-0.5291201877 -0.9962886708  0.0051392478  4.0000000000
-0.6664410513 -1.2432229837 -0.1356882643  4.0000000000
-0.6021417982 -1.3357882663 -0.0723283921  4.0000000000
-0.5558852418 -1.1150208334 -0.0231846795  4.0000000000
-0.5538120335 -1.1253633249 -0.0212329900  4.0000000000
-0.4970998124 -1.1465266521  0.0354005771  4.0000000000
-0.6307868724 -1.1872701166 -0.0992248084  4.0000000000
-0.6621852691 -1.0794841182 -0.1293885036  4.0000000000
-0.6563219921 -1.1513337134 -0.1243970889  4.0000000000
-0.6201489858 -0.9341778859 -0.0854143774  4.0000000000
-0.4481654490 -1.0437494139  0.0857678186  4.0000000000
-0.4871294121 -0.9778200388  0.0474950661  4.0000000000
-0.5000983428 -1.2267226239  0.0313979858  4.0000000000
-0.4875417463 -1.0068051035  0.0467220116  4.0000000000
-0.5657642210 -1.1679266980 -0.0337516439  4.0000000000
-0.4854384809 -1.1181448892  0.0474515956  4.0000000000
-0.5266695024 -1.1588171727  0.0055826911  4.0000000000
-0.4276976465 -1.0078450747  0.1067471133  4.0000000000
-0.6339861374 -0.9473883640 -0.0994601578  4.0000000000
-0.6017787084 -1.0774303423 -0.0687607596  4.0000000000
-0.4935615187 -1.2487835983  0.0376824564  4.0000000000
-0.5903223356 -1.2212569806 -0.0590505668  4.0000000000
-0.4821802151 -1.0173597193  0.0519700482  4.0000000000
-0.4650409746 -1.3646273671  0.0648590670  4.0000000000
-0.4870548216 -1.2733767286  0.0439053065  4.0000000000
-0.6408596909 -0.9647323323 -0.1065710288  4.0000000000
-0.5184893981 -1.0738285795  0.0148430681  4.0000000000
-0.4664242943 -1.1350462282  0.0663178298  4.0000000000
-0.6217418946 -1.2227124131 -0.0905899717  4.0000000000
-0.4566925167 -1.1031333495  0.0764768247  4.0000000000
-0.4255416452 -1.0475732902  0.1084175120  4.0000000000
-0.4393032114 -1.2043913890  0.0926669786  4.0000000000
-0.6469176218 -1.0893512923 -0.1141937314  4.0000000000
-0.5889758446 -0.9763616254 -0.0546632685  4.0000000000
-0.3775878774 -1.0852358280  0.1560596754  4.0000000000
-0.4437296126 -1.1640689468  0.0887261916  4.0000000000
-0.4863044675 -1.1943394816  0.0456380705  4.0000000000
-0.6786709107 -1.3056027323 -0.1487311920  4.0000000000
-0.5005460181 -1.2745833786  0.0303554370  4.0000000000
-0.5252580934 -1.1369811295  0.0072694170  4.0000000000
-0.3953419254 -1.0890744936  0.1382005085  4.0000000000
-0.5981641364 -1.0473582599 -0.0647616142  4.0000000000
-0.5332395233 -1.2324407856 -0.0019214722  4.0000000000
-0.6398198422 -1.1571543605 -0.1079136415  4.0000000000
-0.5660540765 -1.1330374605 -0.0336098487  4.0000000000
-0.6389417519 -1.2482018263 -0.1081615989  4.0000000000
-0.4743046155 -1.2202283778  0.0573558072  4.0000000000
-0.6517253674 -1.1487718564 -0.1197538066  4.0000000000
-0.5928012398 -1.2628874759 -0.0620536770  4.0000000000
-0.5742619913 -1.2340443712 -0.0430967368  4.0000000000
-0.4268005510 -1.3185780566  0.1037943535  4.0000000000
-0.5547744791 -1.2349076445 -0.0235567882  4.0000000000
-0.4040327653 -1.2042599710  0.1280533314  4.0000000000
-0.5505671944 -1.0156044452 -0.0166167430  4.0000000000
-0.6334222172 -1.2047619887 -0.1020855725  4.0000000000
-0.3757132754 -1.0771826041  0.1580402026  4.0000000000
-0.4581982442 -1.0910088060  0.0751165502  4.0000000000
-0.4856017557 -1.2617055325  0.0455077909  4.0000000000
-0.4258157219 -1.3181850801  0.1047872459  4.0000000000
-0.6492439724 -1.0109695684 -0.1155557685  4.0000000000
-0.6271813860 -1.1479131162 -0.0951196547  4.0000000000
-0.4329815241 -1.2916487767  0.0979272486  4.0000000000
-0.3914085777 -1.0585674400  0.1425248557  4.0000000000
-0.6142698593 -1.0439192534 -0.0808768799  4.0000000000
-0.5297383306 -1.0569031513  0.0037675464  4.0000000000
-0.5398610521 -1.2614743349 -0.0089244404  4.0000000000
-0.5353824531 -1.1164318967 -0.0026329570  4.0000000000
-0.6748136219 -1.2389647610 -0.1440351648  4.0000000000
-0.5510239268 -1.3052814794 -0.0206666455  4.0000000000
-0.4466596697 -1.1266689740  0.0862503614  4.0000000000
-0.5525478160 -1.2763606485 -0.0218368843  4.0000000000
-0.4261673135 -1.1021571223  0.1071130345  4.0000000000
-0.6953830210 -1.2743688889 -0.1651101831  4.0000000000
-0.4787478689 -1.3012113296  0.0518940541  4.0000000000
-0.5188909039 -1.2338417397  0.0124562667  4.0000000000
-0.5214207362 -1.1244501743  0.0112745780  4.0000000000
-0.6691714547 -1.1388625860 -0.1371335552  4.0000000000
-0.4164939341 -1.1696635034  0.1159807478  4.0000000000
-0.5507193782 -1.1858923664 -0.0188808109  4.0000000000
-0.6054071465 -1.1672449071 -0.0735145600  4.0000000000
-0.6386874233 -1.0237043942 -0.1051229144  4.0000000000
-0.4254644391 -1.0543186261  0.1084113332  4.0000000000
-0.6847695904 -1.1959195691 -0.1534896757  4.0000000000
-0.5034565987 -1.3792692687  0.0261374312  4.0000000000
-0.5409002426 -1.1001587302 -0.0079668542  4.0000000000
-0.4937361837 -1.0447241225  0.0400373482  4.0000000000
-0.3826286527 -1.1160378183  0.1506206556  4.0000000000
-0.4593904263 -1.2098477007  0.0724470282  4.0000000000
-0.4676752214 -1.0488572211  0.0661315027  4.0000000000
-0.4624759646 -1.3077508795  0.0681375963  4.0000000000
-0.6371443570 -1.1720874426 -0.1054146422  4.0000000000
-0.6199772156 -0.9261637957 -0.0851426844  4.0000000000
-0.5901133559 -1.1516644791 -0.0579780363  4.0000000000
-0.6236258166 -1.1087979744 -0.0910675786  4.0000000000
-0.5436479523 -1.3504891978 -0.0138273008  4.0000000000
-0.5289719631 -1.1146937401  0.0038198544  4.0000000000
-0.4648895371 -1.1261978576  0.0679672701  4.0000000000
 0.1029602767 -0.0598299446  0.1025520422  5.0000000000
-0.0517086474 -0.0788952786 -0.0528544031  5.0000000000
 0.1415746051  0.1412810263  0.1437850463  5.0000000000
 0.0821214692  0.0302346547  0.0827624227  5.0000000000
 0.1304675660 -0.0783681250  0.1299186018  5.0000000000
-0.0807130777 -0.0539618048 -0.0816436596  5.0000000000
 0.0349883157 -0.0852605929  0.0340445371  5.0000000000
-0.0003098290  0.1787919992  0.0019059997  5.0000000000
-0.0915603039  0.1060249816 -0.0905423633  5.0000000000
-0.0140841689 -0.1550191757 -0.0160518765  5.0000000000
-0.0243932748  0.0197027148 -0.0242280167  5.0000000000
-0.0865395696  0.2182908510 -0.0841133831  5.0000000000
 0.1055752725  0.0952357835  0.1070981625  5.0000000000
-0.1311013462 -0.0762180042 -0.1324711408  5.0000000000
-0.1561841930 -0.1054592199 -0.1579978169  5.0000000000
-0.0124788219  0.0071314954 -0.0124308305  5.0000000000
 0.0021366101  0.0885442652  0.0032413884  5.0000000000
 0.1209730693 -0.0190792711  0.1211284622  5.0000000000
 0.0353953967 -0.0959412080  0.0343205086  5.0000000000
 0.0991790050  0.0657062597  0.1003150358  5.0000000000
-0.0653721265  0.0364186132 -0.0651323814  5.0000000000
-0.0346075059  0.1118437794 -0.0333328899  5.0000000000
 0.0959536786 -0.0481230788  0.0956678954  5.0000000000
 0.0663761202 -0.0694065193  0.0657306127  5.0000000000
-0.1222067474 -0.0339884864 -0.1230241217  5.0000000000
 0.0085618135 -0.1206850806  0.0070931861  5.0000000000
 0.0083072349  0.1404151798  0.0100751510  5.0000000000
 0.0880587700 -0.1588247518  0.0863748229  5.0000000000
 0.1251240769 -0.0752552058  0.1245963966  5.0000000000
-0.0233620178  0.1894326807 -0.0210889455  5.0000000000
 0.0828436364  0.0267449687  0.0834436613  5.0000000000
 0.1341441167 -0.0483991988  0.1339786478  5.0000000000
-0.1424057724 -0.0660285935 -0.1436858557  5.0000000000
 0.0733196896 -0.0551334167  0.0728736508  5.0000000000
-0.0311938804  0.0657028669 -0.0304803029  5.0000000000
 0.0675051372  0.0302680612  0.0680991476  5.0000000000
-0.1155306614 -0.0024846179 -0.1159357902  5.0000000000
-0.0690574024  0.0695667264 -0.0684185959  5.0000000000
-0.0313252170  0.0161779740 -0.0312261216  5.0000000000
 0.1019888040  0.1097431907  0.1036799503  5.0000000000
 0.0998277322 -0.1831291949  0.0978805673  5.0000000000
 0.0006873057  0.0946483045  0.0018630719  5.0000000000
-0.0919355705 -0.1682628287 -0.0943197260  5.0000000000
-0.0467234191  0.0702947638 -0.0460032230  5.0000000000
-0.0513361268  0.2346459757 -0.0485930940  5.0000000000
-0.0892588671  0.2216892030 -0.0867993552  5.0000000000
 0.1321344646  0.1018377558  0.1338252644  5.0000000000
 0.0005957066  0.1251519099  0.0021493887  5.0000000000
 0.1160529562  0.0812945644  0.1174369376  5.0000000000
-0.0479768274 -0.0109543557 -0.0482680959  5.0000000000
-0.0349484269 -0.0710179358 -0.0359422083  5.0000000000
-0.0154713169 -0.1518543166 -0.0174042781  5.0000000000
-0.0509947108  0.2182356082 -0.0484540431  5.0000000000
 0.0143084980 -0.0260541783  0.0140318135  5.0000000000
 0.0629375237  0.0026345271  0.0631741081  5.0000000000
-0.0025452544  0.1443555892 -0.0007636438  5.0000000000
 0.1061410113  0.0406421884  0.1069888312  5.0000000000
-0.0622941420 -0.0350466515 -0.0629305182  5.0000000000
 0.0346003399 -0.0338279889  0.0342930144  5.0000000000
-0.0516834083  0.1973896954 -0.0494034394  5.0000000000
-0.0551716224 -0.0391565095 -0.0558358794  5.0000000000
-0.1299475823  0.0683273085 -0.1295214290  5.0000000000
 0.0731646686  0.1442400346  0.0751901485  5.0000000000
-0.0332379045  0.1684056199 -0.0312575437  5.0000000000
 0.0378482505 -0.1064920672  0.0366504902  5.0000000000
 0.1258622482 -0.0726564284  0.1253691817  5.0000000000
